

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
261.839  000.568  000.391: require('mason-lspconfig.mappings.server')
262.359  000.157  000.157: require('mason-core.async')
262.485  000.113  000.113: require('mason-core.async.uv')
262.499  000.447  000.178: require('mason-core.fs')
262.637  000.131  000.131: require('mason-core.optional')
262.768  000.121  000.121: require('mason-core.EventEmitter')
263.033  000.256  000.256: require('mason-registry.index')
263.061  001.210  000.255: require('mason-registry')
263.196  000.126  000.126: require('mason-lspconfig.server_config_extensions')
263.351  000.146  000.146: require('lspconfig.configs')
263.640  000.220  000.220: require('lspconfig.server_configurations.omnisharp')
264.055  000.204  000.204: require('mason-lspconfig.ensure_installed')
264.504  000.125  000.125: require('mason-core.result')
265.113  000.324  000.324: require('mason-core.process')
265.274  000.604  000.281: require('mason-core.spawn')
265.437  000.150  000.150: require('mason-core.receipt')
265.606  000.132  000.132: require('mason-core.functional.string')
265.650  001.136  000.250: require('mason-core.installer.context')
265.789  000.130  000.130: require('mason-core.installer.linker')
265.923  000.126  000.126: require('mason-core.async.control')
265.935  001.705  000.189: require('mason-core.installer')
266.100  000.158  000.158: require('mason-core.installer.handle')
266.784  000.138  000.138: require('mason-core.managers.powershell')
266.794  000.267  000.130: require('mason-core.fetch')
266.798  000.384  000.116: require('mason-core.managers.cargo.client')
267.106  000.154  000.154: require('mason-core.managers.std')
267.400  000.137  000.137: require('mason-registry.api')
267.432  000.317  000.181: require('mason-core.managers.github.client')
267.452  000.648  000.176: require('mason-core.managers.github')
267.648  001.396  000.365: require('mason-core.managers.cargo')
267.958  000.299  000.299: require('mason-core.managers.composer')
268.175  000.207  000.207: require('mason-core.managers.gem')
268.331  000.147  000.147: require('mason-core.managers.git')
268.649  000.308  000.308: require('mason-core.managers.go')
268.898  000.239  000.239: require('mason-core.managers.luarocks')
269.085  000.177  000.177: require('mason-core.managers.npm')
269.301  000.208  000.208: require('mason-core.managers.pip3')
269.324  003.198  000.217: require('mason-core.package.version-check')
269.341  005.275  000.213: require('mason-core.package')
269.510  000.143  000.143: require('mason-registry.python-lsp-server')
270.025  000.144  000.144: require('mason-registry.pyright')
270.330  000.272  000.272: require('mason-registry.clangd')
270.530  000.166  000.166: require('mason-registry.lua-language-server')
270.832  000.135  000.135: require('mason-core.functional.number')
270.899  000.356  000.221: require('mason-lspconfig.api.command')
271.164  025.516  002.816: require('user.pack')
275.270  004.093  004.093: require('user.opts')
275.553  000.016  000.016: require('vim.keymap')
278.112  002.817  002.801: require('user.keys')
278.254  000.129  000.129: require('user.utils')
279.538  000.281  000.281: require('vim.treesitter.language')
279.563  000.848  000.567: require('vim.treesitter.query')
280.882  000.337  000.337: require('vim.treesitter.languagetree')
280.985  000.741  000.404: require('vim.treesitter')
281.311  001.456  000.716: require('nvim-treesitter.parsers')
281.504  000.183  000.183: require('nvim-treesitter.utils')
281.518  001.812  000.173: require('nvim-treesitter.ts_utils')
281.535  001.963  000.151: require('nvim-treesitter.tsrange')
281.661  000.117  000.117: require('nvim-treesitter.caching')
281.687  003.120  000.192: require('nvim-treesitter.query')
281.727  003.366  000.246: require('nvim-treesitter.configs')
282.344  000.208  000.208: require('nvim-treesitter.info')
282.527  000.170  000.170: require('nvim-treesitter.shell_command_selectors')
282.586  000.690  000.312: require('nvim-treesitter.install')
284.606  006.339  002.283: require('plugins.treesitter')
284.986  000.124  000.124: require('telescope._extensions')
284.997  000.250  000.126: require('telescope')
286.048  000.125  000.125: require('plenary.bit')
286.178  000.117  000.117: require('plenary.functional')
286.245  000.046  000.046: require('ffi')
286.275  000.547  000.259: require('plenary.path')
286.299  000.696  000.149: require('plenary.strings')
286.435  000.129  000.129: require('telescope.deprecated')
287.163  000.382  000.382: require('plenary.log')
287.223  000.567  000.186: require('telescope.log')
287.621  000.186  000.186: require('plenary.job')
287.752  000.119  000.119: require('telescope.state')
287.780  000.546  000.240: require('telescope.utils')
287.842  001.397  000.284: require('telescope.sorters')
287.988  000.109  000.109: require('vim.inspect')
293.244  007.896  005.565: require('telescope.config')
293.656  000.141  000.141: require('plenary.window.border')
293.774  000.107  000.107: require('plenary.window')
293.884  000.101  000.101: require('plenary.popup.utils')
293.898  000.622  000.273: require('plenary.popup')
294.028  000.122  000.122: require('telescope.pickers.scroller')
294.156  000.118  000.118: require('telescope.actions.state')
294.342  000.155  000.155: require('telescope.actions.utils')
294.651  000.139  000.139: require('telescope.actions.mt')
294.691  000.335  000.196: require('telescope.actions.set')
294.982  000.154  000.154: require('telescope.config.resolve')
294.994  000.294  000.140: require('telescope.pickers.entry_display')
295.105  000.105  000.105: require('telescope.from_entry')
295.600  010.596  000.948: require('telescope.actions')
299.656  000.115  000.115: require('plenary.tbl')
299.679  000.267  000.152: require('plenary.vararg.rotate')
299.684  000.388  000.122: require('plenary.vararg')
299.803  000.109  000.109: require('plenary.errors')
299.823  000.677  000.179: require('plenary.async.async')
299.965  000.136  000.136: require('plenary.async.structs')
299.985  001.237  000.425: require('plenary.async.control')
300.545  000.396  000.396: require('telescope.make_entry')
301.048  000.135  000.135: require('plenary.async.util')
301.057  000.250  000.115: require('plenary.async.tests')
301.064  000.377  000.127: require('plenary.async')
301.076  000.516  000.139: require('telescope.finders.async_static_finder')
301.489  000.113  000.113: require('plenary.class')
301.563  000.349  000.236: require('telescope._')
301.573  000.490  000.141: require('telescope.finders.async_oneshot_finder')
301.766  000.188  000.188: require('telescope.finders.async_job_finder')
301.794  001.799  000.209: require('telescope.finders')
302.382  000.210  000.210: require('telescope.debounce')
302.655  000.260  000.260: require('telescope.mappings')
302.815  000.148  000.148: require('telescope.pickers.highlights')
302.950  000.125  000.125: require('telescope.pickers.window')
303.242  000.138  000.138: require('telescope.algos.linked_list')
303.257  000.300  000.162: require('telescope.entry_manager')
303.382  000.118  000.118: require('telescope.pickers.multi')
303.434  001.628  000.468: require('telescope.pickers')
303.459  007.636  002.972: require('telescope.builtin.__lsp')
303.542  007.930  000.294: require('telescope.builtin')
304.019  000.309  000.309: require('fzf_lib')
304.035  000.483  000.175: require('telescope._extensions.fzf')
304.635  000.217  000.217: require('telescope._extensions.file_browser.utils')
304.780  000.584  000.368: require('telescope._extensions.file_browser.actions')
305.187  000.235  000.235: require('telescope._extensions.file_browser.make_entry')
305.447  000.242  000.242: require('plenary.scandir')
305.561  000.774  000.297: require('telescope._extensions.file_browser.finders')
305.720  000.149  000.149: require('telescope._extensions.file_browser.picker')
305.904  000.175  000.175: require('telescope._extensions.file_browser.config')
305.911  001.858  000.175: require('telescope._extensions.file_browser')
309.963  025.346  004.228: require('plugins.telescope')
311.611  000.109  000.109: require('notify.util.queue')
311.623  000.244  000.135: require('notify.util')
311.895  000.266  000.266: require('notify.config.highlights')
311.909  000.675  000.166: require('notify.config')
312.036  000.120  000.120: require('notify.stages')
312.193  000.150  000.150: require('notify.service.notification')
312.542  000.102  000.102: require('notify.animate.spring')
312.549  000.204  000.102: require('notify.animate')
312.562  000.360  000.157: require('notify.windows')
313.499  000.279  000.279: require('notify.service.buffer.highlights')
313.522  000.832  000.553: require('notify.service.buffer')
313.552  000.984  000.151: require('notify.service')
313.842  000.284  000.284: require('notify.stages.util')
313.923  002.839  000.266: require('notify')
314.140  000.209  000.209: require('nvim-tree.iterators.node-iterator')
314.283  003.365  000.318: require('nvim-tree.utils')
314.318  003.531  000.165: require('nvim-tree.events')
315.099  000.248  000.248: require('nvim-tree.log')
315.509  000.399  000.399: require('nvim-tree.git.utils')
315.905  000.382  000.382: require('nvim-tree.git.runner')
316.193  000.279  000.279: require('nvim-tree.watcher')
316.229  001.685  000.376: require('nvim-tree.git')
316.486  000.251  000.251: require('nvim-tree.explorer.watch')
317.021  000.527  000.527: require('nvim-tree.explorer.common')
317.483  000.222  000.222: require('nvim-tree.explorer.node-builders')
317.811  000.318  000.318: require('nvim-tree.explorer.sorters')
318.033  000.214  000.214: require('nvim-tree.explorer.filters')
318.912  000.635  000.635: require('nvim-tree.view')
318.953  000.902  000.267: require('nvim-tree.live-filter')
318.973  001.942  000.287: require('nvim-tree.explorer.explore')
319.267  000.289  000.289: require('nvim-tree.explorer.reload')
319.290  004.966  000.272: require('nvim-tree.explorer')
319.317  008.638  000.141: require('nvim-tree.core')
319.631  000.308  000.308: require('nvim-tree.diagnostics')
319.869  000.211  000.211: require('nvim-tree.renderer.components.padding')
320.127  000.250  000.250: require('nvim-tree.renderer.components.icons')
320.391  000.256  000.256: require('nvim-tree.renderer.components.full-name')
320.638  000.240  000.240: require('nvim-tree.renderer.help')
320.899  000.253  000.253: require('nvim-tree.renderer.components.git')
321.035  000.128  000.128: require('nvim-tree.renderer.builder')
321.140  000.097  000.097: require('nvim-tree.marks')
321.153  010.620  000.238: require('nvim-tree.renderer')
321.266  000.100  000.100: require('nvim-tree.actions.tree-modifiers.collapse-all')
321.357  000.084  000.084: require('nvim-tree.actions.root.dir-up')
321.462  000.098  000.098: require('nvim-tree.actions.root.change-dir')
321.567  000.097  000.097: require('nvim-tree.actions.reloaders.reloaders')
321.669  000.094  000.094: require('nvim-tree.actions.finders.find-file')
321.675  011.320  000.226: require('nvim-tree.lib')
321.784  000.103  000.103: require('nvim-tree.colors')
321.915  000.120  000.120: require('nvim-tree.legacy')
322.041  000.116  000.116: require('nvim-tree.actions.fs.copy-paste')
322.274  000.102  000.102: require('nvim-tree.actions.tree-modifiers.expand-all')
322.375  000.092  000.092: require('nvim-tree.actions.tree-modifiers.toggles')
322.491  000.100  000.100: require('nvim-tree.actions.fs.create-file')
322.592  000.093  000.093: require('nvim-tree.actions.fs.rename-file')
322.725  000.124  000.124: require('nvim-tree.actions.fs.trash')
322.831  000.099  000.099: require('nvim-tree.actions.fs.remove-file')
322.930  000.089  000.089: require('nvim-tree.actions.moves.parent')
323.023  000.086  000.086: require('nvim-tree.actions.moves.sibling')
323.118  000.087  000.087: require('nvim-tree.actions.moves.item')
323.232  000.095  000.095: require('nvim-tree.actions.finders.search-node')
323.326  000.087  000.087: require('nvim-tree.actions.node.run-command')
323.445  000.113  000.113: require('nvim-tree.actions.node.file-popup')
323.559  000.107  000.107: require('nvim-tree.actions.node.system-open')
323.666  000.096  000.096: require('nvim-tree.marks.bulk-move')
323.672  001.620  000.249: require('nvim-tree.actions.dispatch')
323.705  013.595  000.315: require('nvim-tree')
323.789  000.079  000.079: require('nvim-tree.config')
330.157  000.170  000.170: require('nvim-tree.actions')
330.294  000.119  000.119: require('nvim-tree.actions.node.open-file')
333.016  000.099  000.099: require('nvim-tree.marks.navigation')
333.029  000.300  000.202: require('nvim-tree.api')
333.049  000.446  000.145: require('nvim-tree.keymap')
333.900  000.396  000.396: require('nvim-web-devicons')
338.051  028.073  013.268: require('plugins.nvim-tree')
338.508  000.078  000.078: require('cmp.utils.debug')
338.719  000.118  000.118: require('cmp.utils.char')
338.734  000.216  000.099: require('cmp.utils.str')
338.885  000.104  000.104: require('cmp.utils.pattern')
339.166  000.089  000.089: require('cmp.utils.misc')
339.276  000.082  000.082: require('cmp.utils.buffer')
339.372  000.089  000.089: require('cmp.utils.api')
339.382  000.404  000.144: require('cmp.utils.keymap')
339.391  000.498  000.094: require('cmp.utils.feedkeys')
339.489  000.093  000.093: require('cmp.utils.async')
339.759  000.076  000.076: require('cmp.types.cmp')
339.866  000.101  000.101: require('cmp.types.lsp')
339.945  000.072  000.072: require('cmp.types.vim')
339.950  000.373  000.124: require('cmp.types')
340.029  000.074  000.074: require('cmp.utils.cache')
340.038  000.541  000.094: require('cmp.context')
340.309  000.090  000.090: require('cmp.config.mapping')
340.503  000.094  000.094: require('cmp.config.compare')
340.509  000.189  000.094: require('cmp.config.default')
340.531  000.395  000.116: require('cmp.config')
340.728  000.079  000.079: require('cmp.matcher')
340.739  000.202  000.123: require('cmp.entry')
340.754  000.712  000.115: require('cmp.source')
340.921  000.074  000.074: require('cmp.utils.event')
341.111  000.097  000.097: require('cmp.utils.window')
341.119  000.190  000.093: require('cmp.view.docs_view')
341.321  000.085  000.085: require('cmp.utils.autocmd')
341.340  000.217  000.132: require('cmp.view.custom_entries_view')
341.461  000.115  000.115: require('cmp.view.wildmenu_entries_view')
341.567  000.100  000.100: require('cmp.view.native_entries_view')
341.665  000.092  000.092: require('cmp.view.ghost_text_view')
341.680  000.921  000.133: require('cmp.view')
341.779  003.470  000.306: require('cmp.core')
342.310  000.087  000.087: require('cmp.config.sources')
342.393  000.073  000.073: require('cmp.config.window')
342.494  004.301  000.671: require('cmp')
342.904  000.115  000.115: require('symbols-outline.config')
342.910  000.204  000.089: require('symbols-outline.symbols')
343.007  000.091  000.091: require('symbols-outline.ui')
343.097  000.082  000.082: require('symbols-outline.utils.table')
343.183  000.079  000.079: require('symbols-outline.folding')
343.189  000.574  000.118: require('symbols-outline.parser')
343.278  000.084  000.084: require('symbols-outline.providers.init')
343.377  000.093  000.093: require('symbols-outline.writer')
343.470  000.085  000.085: require('symbols-outline.utils.init')
343.559  000.083  000.083: require('symbols-outline.view')
343.573  001.071  000.153: require('symbols-outline')
343.875  000.115  000.115: require('symbols-outline.preview')
343.991  000.101  000.101: require('lspkind')
345.814  007.752  002.163: require('plugins.cmp')
346.349  000.081  000.081: require('luasnip.session')
346.486  000.129  000.129: require('luasnip.util.util')
346.586  000.092  000.092: require('luasnip.util.types')
346.774  000.090  000.090: require('luasnip.util.ext_opts')
346.784  000.191  000.101: require('luasnip.nodes.util')
346.875  000.085  000.085: require('luasnip.util.events')
346.894  000.719  000.142: require('luasnip.nodes.node')
347.139  000.090  000.090: require('luasnip.util.extend_decorator')
347.154  000.255  000.166: require('luasnip.nodes.insertNode')
347.275  000.115  000.115: require('luasnip.nodes.textNode')
347.383  000.096  000.096: require('luasnip.util.mark')
348.209  000.716  000.716: require('luasnip.util._builtin_vars')
348.513  001.124  000.408: require('luasnip.util.environ')
348.633  000.108  000.108: require('luasnip.util.pattern_tokenizer')
348.728  000.088  000.088: require('luasnip.util.dict')
348.866  000.130  000.130: require('luasnip.session.snippet_collection')
348.991  002.957  000.321: require('luasnip.nodes.snippet')
349.200  000.091  000.091: require('luasnip.loaders._caches')
349.336  000.127  000.127: require('luasnip.util.path')
349.385  000.379  000.161: require('luasnip.loaders')
349.559  000.139  000.139: require('luasnip.nodes.functionNode')
349.721  000.153  000.153: require('luasnip.nodes.choiceNode')
349.869  000.141  000.141: require('luasnip.nodes.dynamicNode')
350.065  000.188  000.188: require('luasnip.nodes.restoreNode')
350.435  000.101  000.101: require('luasnip.util.parser.neovim_ast')
358.505  000.121  000.121: require('luasnip.util.directed_graph')
358.527  008.307  008.086: require('luasnip.util.parser.ast_utils')
358.758  000.094  000.094: require('luasnip.util.functions')
358.775  000.240  000.146: require('luasnip.util.parser.ast_parser')
359.015  000.234  000.234: require('luasnip.util.parser.neovim_parser')
359.120  000.095  000.095: require('luasnip.util.str')
359.137  009.023  000.147: require('luasnip.util.parser')
359.370  000.098  000.098: require('luasnip.extras.filetype_functions')
359.518  000.110  000.110: require('luasnip.extras')
359.635  000.102  000.102: require('luasnip.extras.fmt')
359.916  000.091  000.091: require('luasnip.extras.conditions')
360.016  000.092  000.092: require('luasnip.extras.conditions.show')
360.104  000.364  000.181: require('luasnip.extras.conditions.expand')
360.109  000.466  000.102: require('luasnip.extras.expand_conditions')
360.215  000.094  000.094: require('luasnip.nodes.absolute_indexer')
360.667  001.523  000.654: require('luasnip.config')
360.678  014.768  000.263: require('luasnip')
360.907  000.109  000.109: require('luasnip.loaders.util')
360.918  000.234  000.125: require('luasnip.loaders.from_lua')
371.321  025.493  010.492: require('plugins.luasnip')
371.723  000.146  000.146: require('colorizer/nvim')
372.076  000.344  000.344: require('colorizer/trie')
372.463  001.029  000.540: require('colorizer')
374.357  003.020  001.990: require('plugins.colorizer')
374.748  000.090  000.090: require('prettier.utils')
374.781  000.231  000.141: require('prettier.options')
375.514  000.305  000.305: require('null-ls.methods')
375.540  000.448  000.143: require('null-ls.utils')
376.105  000.553  000.553: require('vim.diagnostic')
376.140  001.142  000.141: require('null-ls.config')
376.341  000.087  000.087: require('null-ls.helpers.cache')
376.462  000.113  000.113: require('null-ls.helpers.diagnostics')
376.561  000.091  000.091: require('null-ls.helpers.formatter_factory')
376.793  000.099  000.099: require('null-ls.logger')
376.898  000.098  000.098: require('null-ls.state')
376.909  000.341  000.144: require('null-ls.helpers.generator_factory')
377.113  000.098  000.098: require('null-ls.helpers.command_resolver')
377.119  000.204  000.106: require('null-ls.helpers.make_builtin')
377.231  000.106  000.106: require('null-ls.helpers.range_formatting_args_factory')
377.237  001.089  000.146: require('null-ls.helpers')
377.459  000.108  000.108: require('null-ls.diagnostics')
377.478  000.236  000.128: require('null-ls.sources')
377.578  000.092  000.092: require('null-ls.builtins')
377.585  002.688  000.129: require('null-ls')
377.681  000.087  000.087: require('prettier.cli')
377.690  002.903  000.127: require('prettier.null-ls')
377.695  003.240  000.106: require('prettier')
378.107  000.128  000.128: require('null-ls.client')
378.120  003.751  000.383: require('plugins.prettier')
378.273  000.086  000.086: require('git')
378.373  000.089  000.089: require('git.config')
378.659  000.534  000.359: require('plugins.git')
378.986  000.089  000.089: require('gitsigns.async')
379.082  000.086  000.086: require('gitsigns.status')
379.332  000.102  000.102: require('gitsigns.debug')
379.443  000.103  000.103: require('gitsigns.util')
379.649  000.105  000.105: require('gitsigns.uv')
379.656  000.206  000.101: require('gitsigns.subprocess')
380.079  000.084  000.084: require('gitsigns.message')
380.112  000.267  000.184: require('gitsigns.config')
380.202  000.082  000.082: require('gitsigns.signs.base')
380.208  000.444  000.094: require('gitsigns.signs')
380.221  000.559  000.115: require('gitsigns.hunks')
380.238  001.150  000.180: require('gitsigns.git')
380.465  000.102  000.102: require('gitsigns.cache')
380.562  000.088  000.088: require('gitsigns.debounce')
380.655  000.083  000.083: require('gitsigns.diff')
380.677  000.433  000.161: require('gitsigns.manager')
380.797  000.113  000.113: require('gitsigns.highlight')
380.817  002.073  000.201: require('gitsigns')
382.730  000.131  000.131: require('gitsigns.signs.vimfn')
386.247  007.578  005.374: require('plugins.gitsigns')
386.724  000.128  000.128: require('neoscroll.config')
386.836  000.103  000.103: require('neoscroll.utils')
386.984  000.557  000.326: require('neoscroll')
387.632  001.357  000.801: require('plugins.neoscroll')
388.146  000.162  000.162: require('cmp_nvim_lsp.source')
388.154  000.285  000.122: require('cmp_nvim_lsp')
388.261  000.094  000.094: require('lspconfig')
388.412  000.106  000.106: require('lspconfig.server_configurations.pylsp')
389.214  000.137  000.137: require('mason-lspconfig.server_configurations.pylsp')
389.711  000.130  000.130: require('lspconfig.server_configurations.clangd')
391.815  000.130  000.130: require('lspconfig.server_configurations.vimls')
393.772  000.132  000.132: require('lspconfig.server_configurations.bashls')
395.347  000.125  000.125: require('lspconfig.server_configurations.sumneko_lua')
397.172  009.530  008.392: require('plugins.lsp')
397.526  000.090  000.090: require('nvim-autopairs._log')
397.662  000.127  000.127: require('nvim-autopairs.utils')
398.029  000.156  000.156: require('nvim-autopairs.conds')
398.048  000.271  000.115: require('nvim-autopairs.rule')
398.058  000.389  000.118: require('nvim-autopairs.rules.basic')
398.074  000.795  000.189: require('nvim-autopairs')
398.239  000.127  000.127: require('nvim-autopairs.fastwrap')
398.727  000.118  000.118: require('nvim-autopairs.ts-conds')
398.735  000.230  000.112: require('nvim-autopairs.rules.ts_basic')
398.964  000.223  000.223: require('vim.treesitter.highlighter')
400.217  000.097  000.097: require('nvim-autopairs.completion.handlers')
400.234  000.231  000.134: require('nvim-autopairs.completion.cmp')
400.256  003.072  001.466: require('plugins.autopairs')
400.478  000.139  000.139: require('null-ls.builtins.formatting.stylua')
400.654  000.162  000.162: require('null-ls.builtins.diagnostics.eslint')
400.866  000.201  000.201: require('null-ls.builtins.completion.spell')
401.375  001.112  000.609: require('plugins.null-ls')
401.464  000.078  000.078: require('plugins.web-devicons')
401.938  000.088  000.088: require('zen-mode.util')
401.992  000.234  000.146: require('zen-mode.config')
402.100  000.098  000.098: require('zen-mode.plugins')
402.113  000.493  000.161: require('zen-mode.view')
402.140  000.605  000.112: require('zen-mode')
402.253  000.781  000.177: require('plugins.zen-mode')
406.189  000.101  000.101: require('doom-one.utils')
406.303  000.103  000.103: require('doom-one.colors')
406.371  000.608  000.404: require('doom-one')
409.345  004.594  003.986: sourcing /home/sxrdusr/.local/share/nvim/site/pack/packer/start/doom-one.nvim/colors/doom-one.lua
422.250  000.367  000.367: sourcing /tmp/.mount_nvimd4lKxf/usr/share/nvim/runtime/syntax/synload.vim
422.671  000.058  000.058: sourcing /home/sxrdusr/.local/share/nvim/site/pack/packer/start/filetype.nvim/filetype.vim
423.887  000.104  000.104: sourcing /tmp/.mount_nvimd4lKxf/usr/share/nvim/runtime/filetype.lua
433.694  009.586  009.586: sourcing /tmp/.mount_nvimd4lKxf/usr/share/nvim/runtime/filetype.vim
434.744  000.179  000.179: require('filetype')
434.820  022.539  012.246: sourcing /tmp/.mount_nvimd4lKxf/usr/share/nvim/runtime/syntax/syntax.vim
435.298  000.131  000.131: require('notify.stages.fade_in_slide_out')
435.367  033.099  005.834: require('plugins.colorscheme')
435.778  000.108  000.108: require('heirline.conditions')
435.924  000.136  000.136: require('heirline.utils')
436.284  000.097  000.097: require('heirline.highlights')
436.298  000.220  000.122: require('heirline.statusline')
436.307  000.348  000.129: require('heirline')
436.635  000.158  000.158: require('nvim-navic')
440.493  005.117  004.366: require('plugins.heirline')
440.642  239.158  005.290: sourcing /home/sxrdusr/.config/nvim/init.lua
440.667  014.376: sourcing vimrc file(s)
448.090  002.659  002.659: sourcing /tmp/.mount_nvimd4lKxf/usr/share/nvim/runtime/plugin/gzip.vim
448.286  000.095  000.095: sourcing /tmp/.mount_nvimd4lKxf/usr/share/nvim/runtime/plugin/health.vim
451.727  002.145  002.145: sourcing /tmp/.mount_nvimd4lKxf/usr/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
452.146  003.756  001.611: sourcing /tmp/.mount_nvimd4lKxf/usr/share/nvim/runtime/plugin/matchit.vim
452.608  000.394  000.394: sourcing /tmp/.mount_nvimd4lKxf/usr/share/nvim/runtime/plugin/matchparen.vim
452.759  000.077  000.077: sourcing /tmp/.mount_nvimd4lKxf/usr/share/nvim/runtime/plugin/netrwPlugin.vim
453.179  000.021  000.021: sourcing /home/sxrdusr/.local/share/nvim/rplugin.vim
453.200  000.378  000.356: sourcing /tmp/.mount_nvimd4lKxf/usr/share/nvim/runtime/plugin/rplugin.vim
453.456  000.195  000.195: sourcing /tmp/.mount_nvimd4lKxf/usr/share/nvim/runtime/plugin/shada.vim
453.584  000.051  000.051: sourcing /tmp/.mount_nvimd4lKxf/usr/share/nvim/runtime/plugin/spellfile.vim
453.717  000.060  000.060: sourcing /tmp/.mount_nvimd4lKxf/usr/share/nvim/runtime/plugin/tarPlugin.vim
453.853  000.063  000.063: sourcing /tmp/.mount_nvimd4lKxf/usr/share/nvim/runtime/plugin/tohtml.vim
453.966  000.045  000.045: sourcing /tmp/.mount_nvimd4lKxf/usr/share/nvim/runtime/plugin/tutor.vim
457.279  003.247  003.247: sourcing /tmp/.mount_nvimd4lKxf/usr/share/nvim/runtime/plugin/zipPlugin.vim
457.596  000.041  000.041: sourcing /usr/share/vim/vimfiles/plugin/fzf.vim
459.081  000.178  000.178: require('null-ls.builtins.diagnostics.checkmake')
459.509  000.262  000.262: require('fidget.log')
459.529  000.429  000.167: require('fidget')
459.718  000.165  000.165: require('fidget.spinners')
459.911  000.119  000.119: require('flit')
460.423  000.103  000.103: require('leap')
460.526  000.094  000.094: require('leap.user')
461.989  000.083  000.083: require('crates.time')
462.000  000.194  000.110: require('crates.types')
462.010  000.310  000.116: require('crates.semver')
463.387  001.287  001.287: require('crates.config')
463.538  000.141  000.141: require('crates.toml')
463.547  001.532  000.104: require('crates.state')
463.573  002.011  000.169: require('crates.util')
463.588  002.137  000.127: require('crates.actions')
463.829  000.140  000.140: require('crates.api')
463.926  000.090  000.090: require('crates.async')
464.038  000.105  000.105: require('crates.diagnostic')
464.148  000.101  000.101: require('crates.ui')
464.161  000.566  000.130: require('crates.core')
464.410  000.128  000.128: require('crates.popup.common')
464.527  000.109  000.109: require('crates.popup.crate')
464.651  000.117  000.117: require('crates.popup.dependencies')
464.798  000.140  000.140: require('crates.popup.features')
464.930  000.125  000.125: require('crates.popup.versions')
464.942  000.776  000.157: require('crates.popup')
464.956  003.621  000.141: require('crates')
468.390  000.444  000.444: sourcing /home/sxrdusr/.local/share/nvim/site/pack/packer/start/telescope.nvim/plugin/telescope.lua
470.134  012.395  007.244: sourcing /home/sxrdusr/.config/nvim/plugin/packer_compiled.lua
